Subject	Event	Session	S2_Condition	Arousal	Detail
10	Event #119	2	Worse	2	6
10	Event #120	2	Observer	2	3
11	Event #003	2	Worse	3	4
11	Event #005	2	Observer	3	6
11	Event #006	2	Worse	2	6
11	Event #007	2	Better	3	6
11	Event #008	2	Observer	1	6
11	Event #011	2	Worse	3	5
11	Event #014	2	Observer	2	6
11	Event #015	2	Remember	2	6
11	Event #016	2	Worse	2	4
11	Event #017	2	Better	2	6
11	Event #019	2	Remember	2	5
11	Event #021	2	Remember	3	6
11	Event #022	2	Worse	5	6
11	Event #025	2	Remember	3	6
11	Event #026	2	Remember	2	5
11	Event #027	2	Remember	3	6
11	Event #028	2	Better	2	5
11	Event #029	2	Remember	2	7
11	Event #030	2	Worse	2	5
11	Event #031	2	Remember	3	5
11	Event #032	2	Worse	2	5
11	Event #033	2	Better	2	7
11	Event #034	2	Worse	3	7
11	Event #035	2	Worse	2	6
11	Event #037	2	Remember	2	6
11	Event #038	2	Better	2	5
11	Event #040	2	Worse	1	6
11	Event #041	2	Better	2	6
11	Event #042	2	Better	1	5
11	Event #043	2	Remember	1	5
11	Event #044	2	Remember	2	4
11	Event #045	2	Worse	5	5
11	Event #046	2	Observer	2	5
11	Event #047	2	Observer	2	5
11	Event #048	2	Observer	2	7
11	Event #049	2	Remember	1	5
11	Event #050	2	Remember	2	5
11	Event #051	2	Better	2	4
11	Event #052	2	Remember	1	5
11	Event #053	2	Remember	3	6
11	Event #054	2	Worse	2	5
11	Event #055	2	Worse	3	5
11	Event #056	2	Observer	2	6
11	Event #058	2	Better	1	5
11	Event #059	2	Observer	2	7
11	Event #060	2	Better	2	6
11	Event #061	2	Remember	2	5
11	Event #062	2	Better	2	5
11	Event #063	2	Observer	3	6
11	Event #064	2	Remember	2	5
11	Event #067	2	Observer	2	6
11	Event #068	2	Worse	2	7
11	Event #069	2	Worse	3	5
11	Event #070	2	Better	2	5
11	Event #072	2	Better	2	6
11	Event #073	2	Remember	3	5
11	Event #074	2	Better	2	6
11	Event #076	2	Better	2	5
11	Event #077	2	Better	2	5
11	Event #078	2	Better	3	5
11	Event #079	2	Observer	2	5
11	Event #080	2	Observer	1	6
11	Event #081	2	Better	1	4
11	Event #083	2	Observer	2	6
11	Event #084	2	Observer	1	5
11	Event #086	2	Better	2	5
11	Event #087	2	Remember	1	6
11	Event #088	2	Remember	2	6
11	Event #089	2	Better	2	4
11	Event #090	2	Observer	2	6
11	Event #091	2	Worse	3	5
11	Event #092	2	Worse	2	6
11	Event #093	2	Observer	2	5
11	Event #094	2	Remember	2	5
11	Event #096	2	Worse	3	6
11	Event #097	2	Observer	3	6
11	Event #098	2	Observer	3	5
11	Event #099	2	Worse	2	6
11	Event #100	2	Better	3	6
11	Event #101	2	Worse	2	5
11	Event #102	2	Remember	2	6
11	Event #103	2	Better	2	7
11	Event #104	2	Observer	2	4
11	Event #105	2	Worse	4	6
11	Event #106	2	Observer	2	2
11	Event #107	2	Better	3	6
